Id.,Category,Definition,Author(s),Source,Year
AGISI-HI-002,HI definition,"Human intelligence is the ability to define goals, process and analyze sensory information, and make decisions to achieve these goals. And do this while the process for defining goals, the goals themselves, the sensory information and the analytical process is constantly changing.","Abbas, M.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-004,HI definition,"[Human intelligence is the] same as machine intelligence, but innate rather than synthetic.","Marlow, S.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-027,HI definition,[Human intelligence is] machine Intelligence as (imperfectly) implemented by human computational facilities.,"Ray, S.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-028,HI definition,[Human intelligence is the] ability to achieve objectives in a variety of environments.,"Gmytrasiewicz, P.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-029,HI definition,"[Human intelligence is] grounded understanding of the environment and self, and the ability to both pose and solve problems. The ability to predict the future at multiple time scales, and use that to inform its behavior.","Choe, Y.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-033,HI definition,"[Human intelligence is] a composite of the a dimension of the quality of representations (for items in the world or the imagination), and a dimension of manipulating those representations purposefully.","Bates, T.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-049,HI definition,[Human intelligence is] the ability to recognize patterns.,"Kazachenko, B.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-052,HI definition,"Human intelligence is part of a continuum, and no different than the intelligence of other organisms, though clearly its most complex instance by far.","Minai, A.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-053,HI definition,"[Human intelligence is] the inherent capability to learn, think, and reason abstractly.","Voss, P.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-056,HI definition,"Human Intelligence is the synthesis of knowledge and experience over time to inform a real time decision engine (e.g., reason). Knowledge is stored information. Experience is the gathering of information by perception over time.","Weintraub, J.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-064,HI definition,Human intelligence is bio-information in action.,"Benjamin, R.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-065,HI definition,"Human intelligence is a term used generally as a description of a positive attribute that a human shows. It is the result of many components that work together in doing the essential processes of acquiring opportunity and using that opportunity to better the outcomes that may result from the human activity. There is a slight hedge here on the issue of ""better."" One who is intelligent should also have a component that identifies ""better"" and can judge best.","Nilsen, S.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-069,HI definition,"[Human intelligence is] a coevolutionary, dynamic characteristic that defines an individual as both fit (efficient) which means the individual achieves her goals (quantifiable) and purposes (qualitative) below thresholds of failure; and flexible, which means the individual is able to generate, at any given time, sets of optimal solutions to coevolve with her environment. The definition is also applied to groups of individuals at different hierarchies, and implies the preservation of the environment's (e.g. ecosystems) fitness and flexibility.","Martínez García, A. N.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-071,HI definition,Human intelligence differs from [Artificial Intelligence] in the sense that there is an affective dimension that guides decision making.,"Wong, O. H. Y.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-081,HI definition,[Human intelligence is] the ability to create models for action.,"Santini, G.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-106,HI definition,"Intelligence is the ability to devise and carry out efficient plans to achieve some objectively-defined goal (fitness, locomotion, etc.). This often includes developing effective subgoals (e.g., exercising daily in order to be in shape in order to improve reproductive fitness). These plans and goals will be constrained by the physical and mental endowments of the entity (e.g., existence of opposable thumbs, magnetic field sensors, etc.). Information processing and decision-making need not be real-time to count as intelligent: it involves (or requires) amortization over the lifetime (""learning"") or over evolution. General intelligence is the ability to device and carry out a plan to efficiently achieve a wide range of (sub)goals, as described above.","Hartshorne, J.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-109,HI definition,"[Human intelligence is] the ability to sustain and resolve inner narratives, forming tentative situated impressions and acting on them.","Goranson, T.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-111,HI definition,"Human intelligence is the ability to act as an autonomous system in a changing physical and social environment, preserving themselves by any means necessary.","Bianchini, F.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-113,HI definition,"Higher-level learning refers collectively to forms of learning required for human-level intelligence such as learning by creating explanations and testing predictions about new domains based on analogies and metaphors with previously known domains, reasoning about ways to debug and improve behaviors and methods, learning and invention of natural languages and language games, learning or inventing new representations, and in general, self-development of new ways of thinking. [...] Multi-level reasoning refers collectively to the reasoning capabilities of human-level intelligence, including meta-reasoning, analogical reasoning, causal and purposive reasoning, abduction, induction, and deduction.","Jackson, P. C.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-117,HI definition,"[Human intelligence is] the self-driven formation and use of integrated concrete and abstracted knowledge that is implemented in perception, reasoning, and action planning and selection.","Shafei, M.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-142,HI definition,"Human intelligence addresses a wide range of goals including not only survival but also social goals such as the ability to persuade others, the ability to work well in teams, and so on. To succeed in the rapidly-evolving environment of human culture and knowledge, it requires the ability to learn knowledge and skills throughout a lifetime (from human teachers, but also from written materials, and from experimental trial and error).","Dietterich, T.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-155,HI definition,"Intelligence is the set of Object’s abilities such as: Revealing laws of Environment, modeling and memorizing these laws in form of Universal scheme of evolution (USE); Object’s future behavior (anticipatory reflection) modeling by means model of laws of Environment; and Adaptation of Object’s behavior (actions) to the real conditions of the Surrounding - upon condition of maximizing the ratio ""Object’s Actions / Costs for Object’s Actions"" - for the purpose of Object’s preservation (being, existence, survival) in the Surrounding.","Zakharov, A.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-165,HI definition,"Human intelligence is the capability of decision making based on perception, reasoning or etc. , which may or may not always rational and achieve the optimal goal.","Wang, Y.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-HI-166,HI definition,"[Human intelligence] is the ability to solve previously unseen situations in an optimum way, using available resources, may be deducting based upon previous experience or figuring out a new solution.","Hohendahl, A.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
