Id.,Category,Definition,Author(s),Source,Year
AGISI-MI-002,MI definition,"Functionally, machine intelligence will continue to mean the broad range of tasks that computers perform, that, in the near past, humans were much better at.","Abbas, M.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-004,MI definition,"A synthetic system based on complex interactions of discrete simulated behaviors. Agency, reasoning, and self-determination are emergent properties. It applies to both integrated and distributed architectures.","Marlow, S.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-011,MI definition,"An intelligent machine must first of all be a machine with interests, otherwise there are no interests to be served by its intelligence. Human interests can be served by machine *competence*, not by machine intelligence.","Bailey, K.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-012,MI definition,Machine Intelligence is concerned with building systems that can adapt and learn in unstructured noisy domains.,"Oman, S.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-017,MI definition,The capacity to provide new and unpredictable solutions to the new problems.,"Olivieri, C. E.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-020,MI definition,Machine Intelligence should be defined as decision making functionality of an agent which makes use of data spread over generations (historical learning) and takes the results (historical) in cognizance.,"Jasser, A. A.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-022,MI definition,A machine that can make consciously a decision on its own.,Thiblot,"AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-027,MI definition,"Machine intelligence is a continuum of computational capabilities that enable flexible, adaptive and rational behavior.","Ray, S.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-028,MI definition,Ability to achieve objectives in a variety of environments.,"Gmytrasiewicz, P.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-029,MI definition,A machine that can not only solve problems or tasks given to it but can also come up with its own problems or tasks to solve. A machine that has intrinsic meaning. A machine that understands.,"Choe, Y.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-033,MI definition,"Machine intelligence is the broad class of programs capable of outputting information of use to humans in their own intellectual work, which requires something other than retrieving pre-computed answers.","Bates, T.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-043,MI definition,The ability to process information beyond logic.,"Hagen, T.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-044,MI definition,"The old-fashioned definition is still valid: A system's capability of doing something that, if performed by a human, would be considered intelligent. However, as a psychologist, I would dismiss the need for a definition of ""intelligence"" even for humans. Its scope is so wide that it is useless, and seeking a general agreement is illusory. Better to rely on single cognitive processes needed for specific tasks.","Greco, A.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-049,MI definition,ability to recognize patterns,"Kazachenko, B.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-052,MI definition,"Intelligence is that attribute of living systems that allows them to operate productively and survivably in the complex environment of the physical world. It is not a property of humans or brains; it is a property of life, with a continuum of increasing complexity from bacteria to humans that mirrors the physical complexity of these organisms. This is because intelligence emerges wholly from the physics of each organism. Abstractions such as optimization, reasoning, logic, goals, etc., are helpful in describing and understanding intelligence conceptually, but intelligence as a physical process is prior to these attributes, and is only partially described by them.","Minai, A.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-053,MI definition,"AGI: A computer system that matches or exceeds the real time cognitive (not physical) abilities of a smart, well-educated human.","Voss, P.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-054,MI definition,"Learn, reason, interact pursue internal goals.","Pell, E.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-056,MI definition,"Human Intelligence is the synthesis of knowledge and experience over time to inform a real time decision engine (e.g., reason). Knowledge is stored information. Experience is the gathering of Information by perception over time. Human Wisdom is the application of stored reason feedback patterns in useful action to reconcile a human condition. Mortality is a human condition. For example, a cave man draws a picture of a lost loved one; mortality describes the human condition présentand the drawing is a useful action (though relatively limited given language and sketching tools were not mature). Machine Intelligence is the synthesis of knowledge and experience over time to inform a real time decision engine (e.g., reason). Machine Wisdom is the application of stored reason feedback patterns to reconcile the machine condition. If the machine condition is a subset of the human condition (e.g., both require mortality) then Machine Intelligence could reconcile the human condition of mortality and could possibly at some point be equivalent to Human Intelligence. However, if the machine condition is not a subset of the human condition (e.g., mortality is not a requirement) then Machine Intelligence would not be able to reconcile mortality and would only be ancillary to Human Intelligence.","Weintraub, J.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-063,MI definition,intelligence is:- ability to determine and plan to achieve goals. This involves pattern recognition + goal creation and selection + planning for goal achievement.,"Shields, P.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-064,MI definition,"Machine intelligence is the ability of a machine to behave in an environmentally aware and conscious manner, in such a way as to be able to regenerate, replicate, and maintain the ecological sustainability of its competitive presence.","Benjamin, R.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-065,MI definition,"Machine intelligence is a property of a ""machine"" system that allows it to acquire and consider various opportunity before ultimately selecting it's next action. It is not a simple system that can perform these functions. One would measure this intelligence by the set of those strategy / recipe that the machine may use in it's operation. It's not simple to define intelligence because it consists of many components that together enable the unit to choose well.","Nilsen, S.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
AGISI-MI-069,MI definition,"[Machine intelligence] is defined as a kind of 'extended human phenotype' based on computational tools, aimed at enhancing human complex problem-solving capabilities to achieve sustainable outcomes.","Martínez García, A. N.","AGISI Research Survey ""Defining (machine) Intelligence""",2017
