Id.,Category,Definition,Author(s),Source,Year
C0001,Collective definition,"“[Intelligence is] the ability to use memory, knowledge, experience, understanding, reasoning, imagination and judgement in order to solve problems and adapt to new situations.”",-,"AllWords Dictionary, 2006",2006
C0002,Collective definition,“[Intelligence is] the capacity to acquire and apply knowledge.”,-,"The American Heritage Dictionary, fourth edition, 2000",2000
C0003,Collective definition,"“[Intelligence is when] individuals differ from one another in their ability to understand complex ideas, to adapt effectively to the environment, to learn from experience, to engage in various forms of reasoning, to overcome obstacles by taking thought.”",-,"American Psychological Association, U. Neisser, G. Boodoo, T. J. Bouchard, Jr., A. W. Boykin, N. Brody, S. J. Ceci, D. F. Halpern, J. C. Loehlin, R. Perloff, R. J. Sternberg, and S. Urbina. Intelligence: Knowns and unknowns. American Psychologist, 51(2):77–101, 1996.",1996
C0004,Collective definition,"“[Intelligence is] the ability to learn, understand and make judgments or have opinions that are based on reason.”",-,"Cambridge Advance Learner’s Dictionary, 2006",2006
C0005,Collective definition,"“Intelligence is a very general mental capability that, among other things, involves the ability to reason, plan, solve problems, think abstractly, comprehend complex ideas, learn quickly and learn from experience.”",-,"L. S. Gottfredson. Mainstream science on intelligence: An editorial with 52 signatories, history, and bibliography. Intelligence, 24(1):13–23, 1997.",1997
C0006,Collective definition,"“[Intelligence is] the ability to learn facts and skills and apply them, especially when this ability is highly developed.”",-,"Encarta World English Dictionary, 2006",2006
C0007,Collective definition,"“[Intelligence is the] ability to adapt effectively to the environment, either by making a change in oneself or by changing the environment or finding a new one . . . intelligence is not a single mental process, but rather a combination of many mental processes directed toward effective adaptation to the environment.”",-,"Encyclopedia Britannica, 2006",2006
C0008,Collective definition,"“[Intelligence is] the general mental ability involved in calculating, reasoning, perceiving relationships and analogies, learning quickly, storing and retrieving information, using language fluently, classifying, generalizing, and adjusting to new situations.”",-,"Columbia Encyclopedia, sixth edition, 2006",2006
C0009,Collective definition,"“[Intelligence is the] capacity for learning, reasoning, understanding, and similar forms of mental activity; aptitude in grasping truths, relationships, facts, meanings, etc.”",-,"Random House Unabridged Dictionary, 2006",2006
C0010,Collective definition,"“[Intelligence is] the ability to learn, understand, and think about things.”",-,"Longman Dictionary or Contemporary English, 2006",2006
